Domain,Base Domain,Scanned Hostname,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Errors
access.oge.gov,oge.gov,access.oge.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
access.pmel.noaa.gov,noaa.gov,access.pmel.noaa.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
access.preprod.fda.gov,fda.gov,www.access.preprod.fda.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.sit.earthdata.nasa.gov,nasa.gov,access.sit.earthdata.nasa.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
access.sr.nsf.gov,nsf.gov,access.sr.nsf.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access.test.bpa.gov,bpa.gov,access.test.bpa.gov,False,False,False,False,True,True,False,2048,False,False,False,,,,,,,,,,
access.trade.gov,trade.gov,access.trade.gov,False,False,False,False,True,True,False,256,False,False,True,,,,,,,,,,
access.uat.earthdata.nasa.gov,nasa.gov,access.uat.earthdata.nasa.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
access.usgs.gov,usgs.gov,access.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.uspsoig.gov,uspsoig.gov,access.uspsoig.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access.va.gov,va.gov,access.va.gov,False,False,True,True,True,True,False,384,False,False,True,,,,,,,,,,
access.vdiv.census.gov,census.gov,access.vdiv.census.gov,False,False,True,False,False,False,False,,False,False,False,,,,,,,,,,
access01.bea.gov,bea.gov,access01.bea.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access1.bpa.gov,bpa.gov,access1.bpa.gov,False,False,False,False,True,True,False,2048,False,False,False,,,,,,,,,,
access1.max.gov,max.gov,access1.max.gov,False,False,True,True,True,True,False,2048,False,False,False,,,,,,,,,,
access1.nih.gov,nih.gov,access1.nih.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access1.nrel.gov,nrel.gov,access1.nrel.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
access2.bpa.gov,bpa.gov,access2.bpa.gov,False,False,False,False,True,True,False,2048,False,False,False,,,,,,,,,,
access2.max.gov,max.gov,access2.max.gov,False,False,True,True,True,True,False,2048,False,False,False,,,,,,,,,,
access2.nih.gov,nih.gov,access2.nih.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access3.max.gov,max.gov,access3.max.gov,False,False,True,True,True,True,False,2048,False,False,False,,,,,,,,,,
accessdata-preprod.fda.gov,fda.gov,accessdata-preprod.fda.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accessdata.fda.gov,fda.gov,www.accessdata.fda.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accessdc4.nlrb.gov,nlrb.gov,accessdc4.nlrb.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
accessdev.ginniemae.gov,ginniemae.gov,accessdev.ginniemae.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
accessgudid.nlm.nih.gov,nih.gov,accessgudid.nlm.nih.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
accessibility.18f.gov,18f.gov,accessibility.18f.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accession.nodc.noaa.gov,noaa.gov,accession.nodc.noaa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accessitc.rdc.noaa.gov,noaa.gov,accessitc.rdc.noaa.gov,False,True,True,False,False,False,False,,False,False,True,,,,,,,,,,
accessrequest.ntc.doe.gov,doe.gov,accessrequest.ntc.doe.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
accesssc8.nlrb.gov,nlrb.gov,accesssc8.nlrb.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
accesssit.ginniemae.gov,ginniemae.gov,accesssit.ginniemae.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
accesstest.cdc.gov,cdc.gov,accesstest.cdc.gov,False,False,True,False,False,False,False,,False,False,True,,,,,,,,,,
accesstocare.va.gov,va.gov,www.accesstocare.va.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accesstopwt.va.gov,va.gov,www.accesstopwt.va.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accesstoshep.va.gov,va.gov,www.accesstoshep.va.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
accessuat.ginniemae.gov,ginniemae.gov,accessuat.ginniemae.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
accessx1.dol-esa.gov,dol-esa.gov,accessx1.dol-esa.gov,False,True,True,False,False,False,False,,True,False,True,,,,,,,,,,
accessx2.dol-esa.gov,dol-esa.gov,accessx2.dol-esa.gov,False,True,True,False,False,False,False,,True,False,True,,,,,,,,,,
accfaaaccess.ed.gov,ed.gov,accfaaaccess.ed.gov,False,False,False,True,True,True,False,384,False,False,False,,,,,,,,,,
acclft.cdc.gov,cdc.gov,acclft.cdc.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
account-fqt.etc.uspto.gov,uspto.gov,account-fqt.etc.uspto.gov,False,False,False,True,True,True,False,384,False,False,False,,,,,,,,,,
