Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
scus.gov,scus.gov,http://scus.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
sdr.gov,sdr.gov,http://www.sdr.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
search.gov,search.gov,http://search.gov,True,True,https://search.digitalgov.gov/,True,False,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
sec.gov,sec.gov,https://www.sec.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31556952,31556952,False,False,False,False,False,True,True,True
secretservice.gov,secretservice.gov,https://www.secretservice.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536001; includeSubDomains,31536001,False,False,False,False,False,True,True,True
section108.gov,section108.gov,http://section108.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
section508.gov,section508.gov,http://section508.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,True,True,True,False,False
securitytestfan.gov,securitytestfan.gov,http://securitytestfan.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
seguridadconsumidor.gov,seguridadconsumidor.gov,http://seguridadconsumidor.gov,True,True,https://www.cpsc.gov/es/SeguridadConsumidor/,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
segurosocial.gov,segurosocial.gov,https://segurosocial.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63113904,63113904,False,False,False,False,False,True,True,True
selectagents.gov,selectagents.gov,https://www.selectagents.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
selectusa.gov,selectusa.gov,https://www.selectusa.gov,True,False,,False,True,False,False,True,False,False,False,,,False,False,False,False,False,True,True,False
sen.gov,sen.gov,http://sen.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
senate.gov,senate.gov,https://www.senate.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False
senatecalendar.gov,senatecalendar.gov,https://senatecalendar.gov,True,True,https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=CCAL,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True
seniorcorps.gov,seniorcorps.gov,http://seniorcorps.gov,True,True,https://www.nationalservice.gov/programs/senior-corps,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
sentinel.gov,sentinel.gov,https://sentinel.gov,True,True,https://www.ftc.gov/enforcement/consumer-sentinel-network,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True
serve.gov,serve.gov,https://www.serve.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
service.gov,service.gov,http://service.gov,True,True,https://www.serve.gov/,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
servicemembers.gov,servicemembers.gov,http://servicemembers.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
