Domain,Base Domain,censys-snapshot,rdns-snapshot,dap,eot2016,parents
205-156-36-127.ssmcnet.noaa.gov,noaa.gov,False,False,False,True,False
21apr.ed.gov,ed.gov,True,False,False,False,False
222.adlnet.gov,adlnet.gov,False,False,False,True,False
222.moneyfactory.gov,moneyfactory.gov,False,False,False,True,False
25yearsofaids.oar.nih.gov,nih.gov,False,False,False,True,False
263.usajobs.gov,usajobs.gov,False,False,False,True,False
28.nctc.gov,nctc.gov,False,False,False,True,False
2a.cdc.gov,cdc.gov,False,False,False,True,False
2bm.xor.aps.anl.gov,anl.gov,False,False,False,True,False
2bts.rita.dot.gov,dot.gov,False,False,False,True,False
2c.cdc.gov,cdc.gov,False,False,False,True,False
2climate.dot.gov,dot.gov,False,False,False,True,False
2fwww.usich.gov,usich.gov,False,False,False,True,False
2idb.xor.aps.anl.gov,anl.gov,False,False,False,True,False
2idb.xray.aps.anl.gov,anl.gov,False,False,False,True,False
2k-websrv1.nrel.gov,nrel.gov,False,False,False,True,False
2nd-joint-icfa-icuil-workshop.lbl.gov,lbl.gov,False,False,False,True,False
2trcc.rita.dot.gov,dot.gov,False,False,False,True,False
2www.adlnet.gov,adlnet.gov,False,False,False,True,False
2www.moneyfactory.gov,moneyfactory.gov,False,False,False,True,False
2www.moneyfactorystore.gov,moneyfactorystore.gov,False,False,False,True,False
2www.nctc.gov,nctc.gov,False,False,False,True,False
3.amss.nws.noaa.gov,noaa.gov,False,False,False,True,False
3.bnl.gov,bnl.gov,False,False,False,True,False
3.cancer.gov,cancer.gov,False,False,False,True,False
3.ce9.uscourts.gov,uscourts.gov,False,False,False,True,False
3.eere.energy.gov,energy.gov,False,False,False,True,False
3.eia.gov,eia.gov,False,False,False,True,False
3.fdic.gov,fdic.gov,False,False,False,True,False
3.fedshirevets.gov,fedshirevets.gov,False,False,False,True,False
3.foia.state.gov,state.gov,False,False,False,True,False
3.ftc.gov,ftc.gov,False,False,False,True,False
3.lanl.gov,lanl.gov,False,False,False,True,False
3.nci.nih.gov,nih.gov,False,False,False,True,False
3.niaid.nih.gov,nih.gov,False,False,False,True,False
3.niddk.nih.gov,nih.gov,False,False,False,True,False
3.opic.gov,opic.gov,False,False,False,True,False
3.opm.gov,opm.gov,False,False,False,True,False
3.rma.usda.gov,usda.gov,False,False,False,True,False
30th.noaa.gov,noaa.gov,False,False,False,True,False
338.gp2.pawg.cap.gov,cap.gov,False,False,False,True,False
338.gp5.pawg.cap.gov,cap.gov,False,False,False,True,False
340bregistration.hrsa.gov,hrsa.gov,True,False,False,False,False
360.cpsc.gov,cpsc.gov,False,False,True,True,False
360.dea.gov,dea.gov,True,False,False,False,False
360preprod.cpsc.gov,cpsc.gov,False,False,False,True,False
382reporting.ost.dot.gov,dot.gov,True,True,False,True,False
399awseg001.aw.dmz.pitc.gov,pitc.gov,True,True,False,False,False
399awseg002.aw.dmz.pitc.gov,pitc.gov,True,True,False,False,False
399e-adss001.aw.dmz.pitc.gov,pitc.gov,False,True,False,False,False
399e-segs002.aw.dmz.pitc.gov,pitc.gov,True,False,False,False,False
3d.wr.usgs.gov,usgs.gov,False,False,False,True,False
3dic-dms.fnal.gov,fnal.gov,False,False,False,True,False
3dic.fnal.gov,fnal.gov,False,False,False,True,False
3dmaggs.larc.nasa.gov,nasa.gov,True,True,False,False,False
3dparks.wr.usgs.gov,usgs.gov,False,False,True,True,False
3dprint.nih.gov,nih.gov,True,False,False,True,False
3dprinting.sandia.gov,sandia.gov,False,False,False,True,False
